epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,87.1197,0.69928,1.10629,0.69158,0.97514,0.9094,0.86227,0.90285,0.7986,0.9082,0.8533,0.89412,0.726,0.5069,1.18719,0.61389,0.85175,0.00159143,0.000974149,0.000974149
4,116.45,0.68844,1.05798,0.6581,0.97241,0.92512,0.86591,0.92604,0.80594,0.92828,0.87449,0.93255,0.77501,0.52764,0.91697,0.57336,0.86183,0.0009703,0.0009703,0.0009703
5,145.897,0.67006,0.96952,0.64479,0.96611,0.93136,0.85819,0.92474,0.79797,0.94228,0.86479,0.92789,0.76499,0.55085,0.99482,0.62442,0.86989,0.0009604,0.0009604,0.0009604
6,175.137,0.64823,0.97101,0.60473,0.96076,0.93038,0.88216,0.93336,0.82638,0.93442,0.88753,0.93564,0.76757,0.46936,0.94755,0.65152,0.85208,0.0009505,0.0009505,0.0009505
7,204.408,0.64573,0.94807,0.59642,0.96241,0.92454,0.87042,0.917,0.81894,0.928,0.87368,0.91915,0.76805,0.47735,0.99276,0.55302,0.86083,0.0009406,0.0009406,0.0009406
8,233.909,0.63587,0.93993,0.57819,0.95189,0.94214,0.8626,0.92711,0.80311,0.9521,0.87123,0.93187,0.77021,0.52219,0.98315,0.52453,0.90098,0.0009307,0.0009307,0.0009307
9,263.034,0.62499,0.90864,0.55728,0.9516,0.95925,0.88252,0.94209,0.83643,0.96632,0.88856,0.94577,0.80274,0.48367,0.83424,0.4553,0.85145,0.0009208,0.0009208,0.0009208
10,292.587,0.61927,0.8967,0.54201,0.94035,0.96544,0.88803,0.94519,0.85348,0.96988,0.89231,0.94965,0.81266,0.44812,0.81914,0.45043,0.84925,0.0009109,0.0009109,0.0009109
11,321.504,0.60393,0.85831,0.52632,0.94218,0.94655,0.86594,0.92982,0.82768,0.93983,0.87857,0.92929,0.77981,0.47222,0.94306,0.48871,0.8525,0.000901,0.000901,0.000901
12,351.039,0.61783,0.88496,0.52559,0.94873,0.94031,0.89865,0.94429,0.82371,0.94305,0.90465,0.94555,0.79834,0.52114,0.8375,0.44099,0.86099,0.0008911,0.0008911,0.0008911
13,380.508,0.59942,0.86173,0.52174,0.94155,0.91384,0.9022,0.94488,0.85686,0.92044,0.90872,0.94924,0.81815,0.42558,0.76387,0.43594,0.84734,0.0008812,0.0008812,0.0008812
14,409.933,0.58835,0.82806,0.50636,0.93535,0.94221,0.89032,0.94373,0.85407,0.95837,0.8818,0.94278,0.81022,0.44032,0.79511,0.44331,0.85612,0.0008713,0.0008713,0.0008713
15,439.211,0.58165,0.85101,0.50348,0.93304,0.95874,0.88916,0.94508,0.85151,0.96385,0.89083,0.94253,0.80797,0.44984,0.80473,0.42136,0.84658,0.0008614,0.0008614,0.0008614
16,468.734,0.56873,0.82406,0.49119,0.93119,0.94231,0.89405,0.94418,0.84589,0.94539,0.90139,0.95136,0.80685,0.45982,0.76662,0.4201,0.85327,0.0008515,0.0008515,0.0008515
17,498.109,0.56924,0.83514,0.48734,0.93482,0.92798,0.90628,0.94254,0.85302,0.93176,0.91035,0.94655,0.81811,0.4404,0.72947,0.41758,0.84444,0.0008416,0.0008416,0.0008416
18,525.956,0.56164,0.80887,0.47517,0.92866,0.9533,0.89837,0.95227,0.86877,0.95762,0.90245,0.9513,0.82626,0.41306,0.6896,0.37798,0.84071,0.0008317,0.0008317,0.0008317
19,553.228,0.57347,0.82117,0.47387,0.93428,0.9507,0.91769,0.95016,0.85647,0.95492,0.92176,0.94792,0.81465,0.42788,0.7572,0.38063,0.84373,0.0008218,0.0008218,0.0008218
20,579.022,0.56601,0.79846,0.47158,0.93176,0.95383,0.91035,0.95051,0.85414,0.95489,0.91444,0.94972,0.81405,0.44809,0.78959,0.38353,0.85502,0.0008119,0.0008119,0.0008119
21,604.557,0.57511,0.81447,0.47182,0.93118,0.9712,0.89405,0.9471,0.85809,0.97443,0.90062,0.94969,0.81838,0.42955,0.77258,0.40547,0.85136,0.000802,0.000802,0.000802
22,627.559,0.56425,0.81369,0.46856,0.92969,0.9317,0.90057,0.94135,0.85072,0.93503,0.90302,0.93877,0.81192,0.42982,0.76332,0.39766,0.84779,0.0007921,0.0007921,0.0007921
23,653.694,0.56355,0.79453,0.46313,0.93225,0.96725,0.9148,0.95376,0.86015,0.97372,0.92013,0.95873,0.82733,0.43924,0.74203,0.36688,0.84813,0.0007822,0.0007822,0.0007822
24,679.88,0.55491,0.76162,0.45451,0.93424,0.94612,0.92584,0.95371,0.8642,0.95254,0.93236,0.95654,0.82537,0.42418,0.7291,0.35875,0.8442,0.0007723,0.0007723,0.0007723
25,702.598,0.54194,0.77521,0.44618,0.91904,0.93798,0.89979,0.94666,0.85625,0.92912,0.91871,0.94602,0.82915,0.43211,0.66712,0.38698,0.84946,0.0007624,0.0007624,0.0007624
26,723.406,0.55942,0.78669,0.4568,0.92941,0.95169,0.89918,0.94505,0.85011,0.95161,0.90709,0.94239,0.80742,0.44793,0.85263,0.40164,0.8852,0.0007525,0.0007525,0.0007525
27,747.257,0.5333,0.74562,0.43032,0.92251,0.94892,0.91361,0.95497,0.86893,0.95484,0.91932,0.95556,0.82763,0.42477,0.77523,0.35452,0.8516,0.0007426,0.0007426,0.0007426
28,770.296,0.55356,0.76502,0.4396,0.9264,0.96546,0.90302,0.95403,0.86722,0.95969,0.91199,0.95604,0.8278,0.41925,0.7165,0.3693,0.84614,0.0007327,0.0007327,0.0007327
29,789.889,0.54196,0.76578,0.43926,0.92777,0.95715,0.88672,0.94271,0.8561,0.9605,0.8918,0.94253,0.81485,0.4171,0.77316,0.39022,0.84407,0.0007228,0.0007228,0.0007228
30,810.043,0.54395,0.75869,0.43345,0.9203,0.96673,0.89487,0.95307,0.85931,0.95887,0.912,0.95402,0.82955,0.44391,0.73435,0.35891,0.85043,0.0007129,0.0007129,0.0007129
31,829.934,0.54408,0.75617,0.44625,0.92987,0.9693,0.89731,0.9525,0.87457,0.95405,0.91606,0.95096,0.82887,0.40215,0.74363,0.35115,0.83594,0.000703,0.000703,0.000703
32,849.423,0.5417,0.76151,0.4332,0.92012,0.96523,0.90501,0.95253,0.87793,0.95822,0.91597,0.95244,0.83967,0.39168,0.68357,0.33783,0.8416,0.0006931,0.0006931,0.0006931
33,869.021,0.54217,0.76369,0.42739,0.92331,0.95415,0.91584,0.95458,0.87667,0.95437,0.9205,0.95246,0.8283,0.39818,0.70254,0.34901,0.84157,0.0006832,0.0006832,0.0006832
34,886.45,0.53524,0.76049,0.42318,0.9214,0.95862,0.90631,0.95484,0.87598,0.95886,0.91172,0.95448,0.82946,0.38647,0.73128,0.34306,0.84206,0.0006733,0.0006733,0.0006733
35,900.813,0.51642,0.72184,0.41173,0.91162,0.95711,0.91117,0.95574,0.88317,0.96139,0.91524,0.9562,0.83575,0.37716,0.689,0.3253,0.83204,0.0006634,0.0006634,0.0006634
36,916.23,0.51892,0.72603,0.41148,0.91245,0.95011,0.91564,0.95719,0.88608,0.95328,0.92095,0.95726,0.84188,0.37457,0.69128,0.32353,0.83737,0.0006535,0.0006535,0.0006535
37,930.267,0.50978,0.72635,0.40663,0.91078,0.96115,0.89487,0.95279,0.88097,0.96207,0.9096,0.9543,0.83463,0.39098,0.728,0.33186,0.8437,0.0006436,0.0006436,0.0006436
38,946.309,0.51487,0.71687,0.41596,0.91193,0.9503,0.90385,0.95044,0.87553,0.94513,0.92176,0.9531,0.83095,0.39439,0.72366,0.33895,0.83796,0.0006337,0.0006337,0.0006337
39,960.151,0.51477,0.71952,0.40379,0.90921,0.95821,0.91556,0.95467,0.8821,0.96588,0.92289,0.95796,0.84168,0.38613,0.66956,0.32563,0.84092,0.0006238,0.0006238,0.0006238
40,974.743,0.51258,0.7057,0.40609,0.91437,0.97173,0.89976,0.95646,0.87733,0.97199,0.91117,0.95601,0.83759,0.39682,0.69528,0.33215,0.84659,0.0006139,0.0006139,0.0006139
